,a.0.9,a.10.19,a.20.29,a.30.39,a.40.49,a.50.59,a.60.69,a.70.79,a.80.89,f,m,armed.forces,civilian.employed,not.in.labor.force,unemployed,abroad.house,diff.us.house,same.house,i.0.9999,i.10000.14999,i.15000.24999,i.25000.34999,i.35000.49999,i.50000.64999,i.65000.74999,i.75000.99999,abroad.born,naturalization,not.citizen,puerto.rico.born,us.born,divorced,married,never,separated,widowed,no.schooling,private,public,with.disability,without.disability,federal,local,not.working,private.no.profit,private.profit,self.employed.corp,self.employed.no.corp,state,with.insurance,without.insurance,asian,black,other,two,white
130,500,585,351,376,470,773,655,306,142,2088,2070,0,1996,2108,54,107,412,3639,2616,0,46,119,90,50,65,1172,115,629,189,0,3225,140,2233,1699,0,86,3023,398,737,304,3854,361,63,2130,188,1073,160,157,26,4076,82,453,48,33,186,3438
131,449,460,186,213,488,563,256,268,78,1540,1421,17,1487,1407,50,0,227,2734,1855,14,8,66,58,79,19,862,49,353,112,9,2438,82,1624,1155,11,89,2040,248,673,144,2817,171,66,1473,156,864,96,87,48,2892,69,325,36,32,100,2468
132,703,524,693,572,795,639,734,356,165,2492,2689,30,2794,2243,114,140,461,4580,2935,35,55,162,163,154,129,1548,201,989,618,7,3366,351,2486,2069,62,213,3953,396,832,479,4702,405,179,2343,239,1743,84,181,7,4926,255,1349,271,14,369,3178
133,348,376,236,167,393,382,408,197,85,1254,1338,26,1121,1387,58,45,182,2365,1755,9,48,16,52,53,23,636,36,636,333,6,1581,112,1317,1047,28,88,1754,255,583,154,2438,122,32,1454,102,740,75,52,15,2539,53,584,37,26,199,1746
134,845,1229,1012,1169,1101,1061,833,199,185,4055,3579,0,4085,3348,201,505,705,6424,4566,24,78,153,382,352,112,1967,157,1222,1799,56,4400,350,3494,3525,115,150,5048,435,2151,476,7158,561,168,3535,381,2493,207,232,57,6969,665,1989,606,3,345,4691
135,574,550,233,412,673,627,393,203,330,2034,1961,6,1997,1948,44,118,219,3658,2290,16,39,61,90,110,86,1303,62,649,101,0,3183,196,2086,1486,27,200,2998,155,842,321,3674,463,95,1980,319,919,67,139,13,3803,192,598,208,110,189,2890
136,556,396,359,422,558,655,303,149,133,1743,1788,11,1822,1662,36,0,300,3231,2072,29,123,140,106,128,97,836,54,754,621,46,2056,112,1716,1447,42,214,2579,193,759,305,3226,247,103,1702,187,1061,85,119,27,3256,275,554,218,77,157,2525
137,678,660,290,529,802,789,422,283,161,2302,2312,33,2408,2046,127,0,533,4081,2798,68,16,81,120,102,116,1313,78,619,177,8,3732,350,2217,1849,31,167,3401,203,1010,285,4329,232,193,2198,267,1350,175,161,38,4420,194,800,105,26,213,3470
138,336,511,390,268,420,749,268,191,103,1722,1514,0,1792,1383,61,70,426,2740,1881,67,21,161,46,92,73,895,81,362,145,0,2648,192,1590,1295,63,96,2411,262,563,194,3042,185,181,1432,138,1047,194,59,0,3046,190,349,0,7,305,2575
139,352,408,106,234,404,449,284,142,142,1278,1243,6,1232,1265,18,40,253,2228,1503,0,26,17,74,66,36,799,62,369,124,11,1955,130,1256,999,7,129,1815,102,604,178,2343,156,54,1283,134,709,103,82,0,2458,63,312,0,36,100,2073
140,380,406,262,204,385,442,304,105,98,1306,1280,20,1401,1124,41,31,275,2280,1575,0,17,41,113,46,62,732,114,315,105,6,2046,145,1210,1147,8,76,1791,170,625,140,2446,182,137,1160,143,694,99,151,20,2473,113,291,124,0,201,1970
141,873,1265,457,657,1103,1160,920,562,192,3544,3645,25,3424,3632,108,65,839,6285,4681,37,139,134,237,183,94,1684,231,931,694,56,5277,365,3476,3002,94,252,5117,360,1712,486,6703,544,163,3732,333,2004,166,200,47,6943,246,1155,159,349,312,5214
142,480,789,290,381,556,946,650,392,138,2279,2343,31,2181,2397,13,12,437,4173,3019,0,81,45,35,66,59,1317,83,570,141,0,3828,132,2740,1641,0,109,3261,335,1026,226,4396,330,131,2431,177,1093,260,200,0,4561,61,619,235,0,203,3565
143,793,753,689,1339,1045,800,591,199,149,3274,3084,0,3737,2500,121,306,829,5223,3676,19,159,41,203,290,272,1698,138,1381,1642,0,3197,405,3133,2608,37,175,4692,477,1189,435,5923,623,170,2600,103,2352,155,340,15,6099,259,2216,640,40,445,3017
144,779,999,748,956,1119,1100,664,344,142,3632,3219,19,3850,2766,216,135,1064,5652,3675,61,146,255,227,283,178,2026,134,1418,758,52,4489,413,3439,2754,25,220,4949,384,1518,499,6352,770,203,2968,495,1985,142,140,148,6643,208,1638,488,15,275,4435
145,1233,791,1225,1658,1373,780,468,358,234,3721,4399,44,4293,3635,148,428,1278,6414,4843,0,41,138,502,602,298,1696,153,1412,2422,0,4133,423,3787,3793,62,55,5964,387,1769,453,7667,418,193,3803,649,2596,52,283,126,7399,721,2430,714,60,856,4060
146,319,270,2005,1638,541,425,224,127,43,2597,2995,36,4250,1268,38,279,1793,3520,2138,41,133,255,320,613,267,1825,85,869,1435,71,3132,458,1669,3307,122,36,4570,317,705,181,5411,427,141,1330,715,2813,48,45,73,5146,446,1836,334,391,321,2710
147,768,532,1134,1182,884,836,632,259,91,3127,3191,101,3764,2351,102,328,1117,4873,3389,43,101,191,383,486,168,1557,160,1333,1470,0,3355,444,2875,2842,22,135,4748,417,1153,459,5859,522,90,2540,464,2321,137,120,124,5555,763,2377,485,213,352,2891
148,204,204,173,316,216,194,143,52,33,815,720,9,914,595,17,18,274,1243,807,0,5,16,44,143,72,448,0,288,208,7,1032,190,597,707,19,22,1103,82,350,126,1409,75,79,616,113,520,12,88,32,1430,105,292,119,50,21,1053
149,539,518,886,1077,582,605,758,217,96,2586,2692,22,3391,1733,132,96,947,4235,2651,0,84,233,352,318,144,1496,159,1161,471,55,3432,474,2155,2475,72,102,3970,306,1002,271,5007,415,282,1859,442,2040,50,109,81,5000,278,1324,120,325,324,3185
150,423,385,504,638,688,490,505,253,145,2117,1914,14,2314,1552,151,218,384,3429,2444,53,107,207,295,182,110,633,74,956,1032,0,1969,439,1716,1656,87,133,3080,225,726,343,3688,189,148,1708,234,1485,37,186,44,3271,760,1153,540,147,85,2106
151,38,452,346,491,350,204,134,0,22,1057,980,0,1197,718,122,74,226,1737,1333,46,88,75,256,167,34,38,10,326,756,16,929,57,705,1231,38,6,1247,83,707,91,1946,23,61,1029,156,726,16,20,6,1564,473,281,274,401,50,1031
152,259,394,166,93,343,527,391,339,105,1260,1357,6,1107,1451,53,54,133,2430,1726,12,5,12,11,67,14,770,64,354,239,0,1960,100,1527,895,19,76,1907,311,399,121,2496,155,71,1484,90,583,119,92,23,2598,19,548,37,34,26,1972
153,334,573,190,187,414,634,455,274,144,1632,1573,9,1459,1677,60,78,214,2913,2084,11,0,45,23,75,10,957,111,332,190,0,2572,85,1817,1170,16,117,2303,297,605,248,2957,239,51,1732,251,685,132,104,11,3138,67,248,91,28,57,2781
154,680,662,268,375,626,688,740,420,217,2431,2245,20,2262,2345,49,52,364,4260,2975,13,16,39,109,89,57,1378,100,552,280,20,3724,243,2452,1691,63,227,3377,528,771,283,4393,282,20,2409,318,1349,180,101,17,4618,58,674,87,0,50,3865
155,776,686,332,447,900,777,775,292,366,2676,2675,33,2466,2736,116,79,591,4681,3427,13,24,56,98,114,19,1600,189,858,459,0,3845,329,2663,2042,49,268,3927,286,1138,468,4883,482,61,2867,317,1269,192,115,48,5100,251,1318,82,0,203,3748
156,275,299,114,220,322,464,474,314,138,1312,1308,8,1387,1202,23,60,60,2500,1626,4,4,30,43,72,28,813,37,482,295,2,1804,132,1488,841,31,128,2002,187,431,292,2328,202,50,1227,129,641,184,123,64,2589,31,347,6,28,44,2195
157,716,759,362,522,917,712,556,457,244,2753,2492,46,2508,2651,40,100,441,4704,3243,0,68,78,141,159,81,1475,151,803,646,21,3624,163,2713,2159,21,189,3839,356,1050,388,4857,552,147,2706,270,1329,126,77,38,5096,149,1074,182,126,239,3624
158,371,534,205,183,602,386,306,242,138,1571,1396,0,1426,1422,119,66,318,2583,1849,9,12,72,35,31,54,905,73,419,531,0,1944,191,1441,1146,6,183,1969,239,759,180,2787,329,68,1515,213,683,109,50,0,2934,33,541,95,60,119,2152
159,898,981,357,476,1334,982,862,450,650,3639,3351,30,3288,3600,72,237,779,5974,4376,28,34,92,163,112,89,2096,147,711,471,21,5640,202,3668,2556,0,564,5143,433,1414,649,6341,491,114,3652,357,1834,289,213,40,6667,323,1067,137,101,196,5489
